,Kernel Name,gpc__cycles_elapsed.max,sm__throughput.avg.pct_of_peak_sustained_elapsed,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,l1tex__throughput.avg.pct_of_peak_sustained_active,lts__throughput.avg.pct_of_peak_sustained_elapsed,gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed,sm__issue_active.avg.pct_of_peak_sustained_elapsed,sm__inst_executed.avg.pct_of_peak_sustained_elapsed,sm__pipe_alu_cycles_active.avg.pct_of_peak_sustained_elapsed,sm__pipe_fma_cycles_active.avg.pct_of_peak_sustained_elapsed,sm__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_elapsed,sm__inst_executed_pipe_adu.avg.pct_of_peak_sustained_elapsed,sm__mio2rf_writeback_active.avg.pct_of_peak_sustained_elapsed,sm__inst_executed_pipe_fp16.avg.pct_of_peak_sustained_elapsed,sm__inst_executed_pipe_xu.avg.pct_of_peak_sustained_elapsed,sm__pipe_fp64_cycles_active.avg.pct_of_peak_sustained_elapsed,sm__pipe_shared_cycles_active.avg.pct_of_peak_sustained_elapsed,sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_elapsed
313,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::cos_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)","4,916",12.25,21.82,15.74,16.43,21.82,12.25,12.13,6.26,11.94,1.57,0.78,1.17,0,6.26,0,0,0
314,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl<at::native::BinaryFunctor<float, float, float, at::native::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)","6,021",11.20,17.71,12.90,13.49,17.71,10.99,10.56,11.20,3.84,5.12,1.28,1.92,0,0,0,0,0
315,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl<at::native::<unnamed>::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)","74,059",40.09,56.09,35.62,23.29,56.09,40.09,40.05,40.05,18.91,13.35,4.45,4.45,0,0,0,0,0
316,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::launch_clamp_scalar(at::TensorIteratorBase &, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)","98,036",14.26,89.17,33.56,35.11,89.17,10.08,10.07,5.87,2.94,3.36,1.68,2.52,0,0,0,0,0
317,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::log_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(double) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)","3,310",0.04,0.12,13.33,0.12,0.01,0.02,0.02,0.01,0.01,0.00,0.00,0.00,0,0.00,0.01,0.01,0
318,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, float, (int)4>>(T3)","111,482",12.09,88.23,30.12,37.73,88.23,12.09,11.92,5.68,11.78,7.35,0.79,3.31,0,0.02,0,0,0
319,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, void at::native::threshold_kernel_impl<float>(at::TensorIteratorBase &, T1, T1)::[lambda(float, float) (instance 1)]>, at::detail::Array<char *, (int)3>>(int, T2, T3)","295,821",3.75,92.04,26.64,34.92,92.04,3.75,3.75,2.77,2.50,2.77,1.11,2.77,0,0,0,0,0
320,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, float, at::native::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)","3,448",1.02,10.46,8.91,7.87,10.46,1.02,0.93,0.28,0.93,0.74,0.37,0.56,0,0,0,0,0
321,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::AddFunctor<float>>, at::detail::Array<char *, (int)3>>(int, T2, T3)","2,815",0.02,0.17,18.05,0.17,0.11,0.02,0.02,0.01,0.01,0.01,0.00,0.01,0,0,0,0,0
322,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, float, at::native::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)","2,811",0.02,0.16,18.18,0.16,0.06,0.02,0.02,0.01,0.01,0.01,0.00,0.00,0,0,0,0,0
323,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::AddFunctor<float>>, at::detail::Array<char *, (int)3>>(int, T2, T3)","3,405",0.67,11.88,8.39,6.62,11.88,0.67,0.61,0.22,0.57,0.53,0.21,0.52,0,0,0,0,0
324,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::sin_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)","5,025",11.69,21.43,15.41,16.09,21.43,11.61,11.50,5.37,11.69,1.53,0.77,1.15,0,6.13,0,0,0
325,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl<at::native::BUnaryFunctor<double, double, double, at::native::AddFunctor<double>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)","6,820",3.08,42.11,18.37,19.75,42.11,3.08,2.82,3.01,0.85,1.13,0.38,0.56,0,0,0.38,0.38,0
326,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::exp_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(double) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)","8,234",14.50,29.37,41.21,29.37,26.05,7.33,7.23,1.87,2.34,1.40,0.47,1.17,0,0,14.50,14.50,0
327,"void at::native::unrolled_elementwise_kernel<at::native::BinaryFunctor<float, float, float, at::native::DivFunctor<float>>, at::detail::Array<char *, (int)3>, TrivialOffsetCalculator<(int)2, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)2>, at::native::memory::StoreWithCast>(int, T1, T2, T3, T4, T5, T6)","3,812",0.03,0.10,10.36,0.10,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0,0.00,0,0,0
328,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::neg_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 6)]::operator ()() const::[lambda(double) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)","3,043",0.03,0.52,28.28,0.52,0.37,0.02,0.02,0.00,0.01,0.02,0.01,0.02,0,0,0.01,0.01,0
329,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl<at::native::BinaryFunctor<double, double, double, at::native::AddFunctor<double>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)","6,816",12.61,31.64,22.92,23.88,31.64,12.61,12.14,12.14,5.65,4.52,1.13,2.82,0,0,1.13,1.13,0
330,"void at::native::reduce_kernel<(int)128, (int)4, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, float, (int)4>>(T3)","171,894",5.43,54.44,25.67,23.85,54.44,5.43,5.37,3.50,4.90,1.67,0.50,2.17,0,0.06,0,0,0
331,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::AddFunctor<float>>, at::detail::Array<char *, (int)3>>(int, T2, T3)","4,247",0.94,17.03,10.11,9.55,17.03,0.94,0.87,0.30,0.83,0.76,0.30,0.76,0,0,0,0,0
332,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, float, at::native::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)","3,234",1.09,11.12,8.90,8.38,11.12,1.09,0.99,0.30,0.99,0.79,0.40,0.59,0,0,0,0,0
333,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, float, at::native::AddFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)","3,278",0.63,6.02,6.17,4.59,6.02,0.63,0.58,0.17,0.60,0.44,0.22,0.32,0,0,0,0,0
334,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, float, at::native::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)","2,817",0.02,0.16,18.24,0.16,0.06,0.02,0.02,0.01,0.01,0.01,0.00,0.00,0,0,0,0,0
335,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, float, at::native::AddFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)","3,088",0.01,0.13,18.97,0.13,0.03,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0,0,0,0,0
336,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::launch_clamp_scalar(at::TensorIteratorBase &, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)","199,124",14.02,90.27,33.00,34.59,90.27,9.90,9.90,5.77,2.89,3.30,1.65,2.47,0,0,0,0,0
337,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl<at::native::BinaryFunctor<double, double, double, at::native::MulFunctor<double>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 2)]>(int, T3)","15,488",28.64,54.58,29.89,31.18,54.58,28.64,28.46,27.24,8.77,5.22,10.06,4.85,0,5.97,1.49,1.49,0
338,volta_sgemm_32x128_tn,"81,917",65.61,62.69,68.97,25.34,62.11,52.07,52.03,19.25,65.61,32.85,0.75,19.67,0,0,0,0,0
339,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<double, double, bool, at::native::<unnamed>::CompareEqFunctor<double>>, at::detail::Array<char *, (int)3>>(int, T2, T3)","3,392",0.09,1.01,9.62,0.54,1.01,0.09,0.09,0.07,0.03,0.06,0.02,0.08,0,0,0.07,0.07,0
340,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<double>, at::detail::Array<char *, (int)1>>(int, T2, T3)","17,690",3.49,45.90,69.75,45.90,43.16,2.43,2.40,1.31,1.96,1.74,0.87,0.44,0,0,0,0,0
341,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::AddFunctor<float>>, at::detail::Array<char *, (int)3>>(int, T2, T3)","2,854",0.02,0.17,17.82,0.17,0.10,0.02,0.02,0.01,0.01,0.01,0.00,0.01,0,0,0,0,0
342,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, float, (int)4>>(T3)","38,131",0.13,3.78,88.92,1.42,3.78,0.13,0.12,0.06,0.13,0.08,0.01,0.04,0,0,0,0,0
343,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::addcdiv_cuda_kernel(at::TensorIteratorBase &, const c10::Scalar &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float, float, float) (instance 1)], at::detail::Array<char *, (int)4>>(int, T2, T3)","3,394",0.05,0.16,13.13,0.16,0.13,0.04,0.04,0.02,0.02,0.02,0.00,0.01,0,0.01,0,0,0
344,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::addcmul_cuda_kernel(at::TensorIteratorBase &, const c10::Scalar &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float, float, float) (instance 1)], at::detail::Array<char *, (int)4>>(int, T2, T3)","4,114",1.29,17.66,10.19,9.85,17.66,1.29,1.17,0.39,1.25,0.93,0.31,1.09,0,0,0,0,0
345,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::addcdiv_cuda_kernel(at::TensorIteratorBase &, const c10::Scalar &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float, float, float) (instance 1)], at::detail::Array<char *, (int)4>>(int, T2, T3)","6,205",3.50,17.39,9.11,8.70,17.39,3.50,3.40,0.94,3.07,1.08,0.21,0.72,0,1.63,0,0,0
346,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::addcmul_cuda_kernel(at::TensorIteratorBase &, const c10::Scalar &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float, float, float) (instance 1)], at::detail::Array<char *, (int)4>>(int, T2, T3)","2,907",0.02,0.16,17.19,0.16,0.10,0.02,0.02,0.02,0.01,0.02,0.00,0.01,0,0,0,0,0
347,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl<at::native::BinaryFunctor<float, float, float, at::native::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)","6,087",11.05,17.65,12.73,13.32,17.65,10.85,10.42,11.05,3.79,5.05,1.26,1.89,0,0,0,0,0
348,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::reciprocal_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(double) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)","3,165",0.06,0.51,26.48,0.51,0.36,0.05,0.05,0.02,0.01,0.02,0.01,0.02,0,0.03,0.06,0.06,0
349,"void at::native::<unnamed>::CatArrayBatchedCopy<long, unsigned int, (int)3, (int)128, (int)1>(T1 *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)","10,602",15.96,55.03,42.66,35.59,55.03,15.96,15.62,11.81,11.87,4.12,11.81,3.39,0,7.27,0,0,0
350,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl<at::native::<unnamed>::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)","145,232",40.78,60.38,36.25,23.74,60.38,40.78,40.76,40.76,19.25,13.59,4.53,4.53,0,0,0,0,0
351,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AbsFunctor<double>, at::detail::Array<char *, (int)2>>(int, T2, T3)","3,133",0.08,1.30,24.76,1.30,1.10,0.06,0.05,0.01,0.03,0.06,0.02,0.05,0,0,0.04,0.04,0
352,volta_sgemm_128x32_nn,"1,380,470",91.76,70.63,71.69,37.61,16.88,65.30,65.30,15.34,91.76,41.82,0.53,26.70,0,0,0,0,0
353,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::AddFunctor<float>>, at::detail::Array<char *, (int)3>>(int, T2, T3)","2,745",0.01,0.14,19.40,0.14,0.01,0.01,0.01,0.01,0.00,0.01,0.00,0.00,0,0,0,0,0
354,volta_sgemm_32x128_nt,"938,635",89.63,59.77,59.34,37.28,30.26,59.94,59.93,9.58,89.63,38.19,0.03,26.01,0,0,0,0,0
355,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::neg_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 6)]::operator ()() const::[lambda(double) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)","4,621",1.11,17.48,24.73,17.48,15.50,0.83,0.76,0.14,0.49,0.83,0.28,0.69,0,0,0.55,0.55,0
356,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::sqrt_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)","3,302",0.05,0.14,13.25,0.14,0.05,0.04,0.04,0.02,0.01,0.01,0.00,0.00,0,0.01,0,0,0
357,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, float, at::native::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)","2,844",0.02,0.15,17.96,0.15,0.06,0.02,0.02,0.01,0.01,0.01,0.00,0.00,0,0,0,0,0
358,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::sqrt_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)","4,678",5.53,7.73,5.57,5.79,7.73,4.04,3.96,2.18,2.00,0.96,0.27,0.41,0,1.08,0,0,0
359,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, float, at::native::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)","2,661",0.01,0.14,19.22,0.14,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0,0,0,0,0
